Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",Temporada
K. Dawson,Kevin Emiliano Dawson Blanco,180998,Defensor Sporting,Defensor Sporting,https://cdn5.wyscout.com/photos/team/public/465_120x120.png,Primera División,GK,GK,100,,0,,0,32.0,1992-02-08,700000,2024-12-31,36,3542,0,0.0,0,0.0,0.43,82.35,Uruguay,['Uruguay'],right,178,81,False,1.12,0.1,50.0,0.13,100.0,0.03,0.04,0.0,1.04,1.66,0.03,4,0.1,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,100.0,0.0,0.0,0.0,9.35,0.13,0.15,16.72,86.02,10.09,78.09,0.0,0.0,10.27,98.51,6.43,66.4,30.56,44.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,56.41,0.0,0.0,0.0,0.0,0.0,0.0,5.03,68.18,98.24,5.77,37,0.94,156,3.96,9,76.28,40.73,1.03,3.73,0.095,0.0,0.74,0.13,,,,0.0,0,0.0,2024
F. Barrandeguy,Federico Ricardo Barrandeguy Martino,396153,Rampla Juniors,Rampla Juniors,https://cdn5.wyscout.com/photos/team/public/982_120x120.png,Primera División,RB,RB,87,,0,,0,28.0,1996-05-08,325000,2024-12-31,35,3426,1,0.91,1,3.06,17.94,56.66,Uruguay,['Uruguay'],right,176,69,False,9.59,7.88,71.33,2.86,58.72,0.16,0.22,0.32,3.81,5.35,0.58,3,0.08,0,0.0,2.44,0.03,1,0.03,0.02,0,0.0,26,0.68,26.92,3.846,0.03,3.76,44.06,0.05,50.0,3.65,43.88,0.32,1.13,51.16,4.7,41.34,0.21,0.97,0.05,19.36,1.13,1.29,32.94,70.18,16.71,62.89,2.63,89.0,21.12,82.96,8.25,48.73,22.52,35.52,0.08,0.74,0.0,0.0,0.11,25.0,0.29,7.57,59.72,3.5700000000000003,48.53,0.58,36.36,0.39,1.6800000000000002,10.27,71.61,77.63,9.98,0,,0,,0,0.0,0.0,0.0,,,0.08,,2.86,0.76,0.24,44.44,0.24,0,0.0,2024
M. Gómez,Mauricio Sebastián Gómez Castro,296248,Miramar Misiones,Miramar Misiones,https://cdn5.wyscout.com/photos/team/public/985_120x120.png,Primera División,"RB, RWB",RB,64,RWB,13,,0,32.0,1992-04-16,200000,2024-12-31,35,3341,3,1.56,3,2.52,14.95,52.61,Uruguay,['Uruguay'],right,178,70,False,8.81,7.3,61.99,3.45,46.88,0.38,0.49,0.19,3.91,5.12,1.1,5,0.13,0,0.0,1.45,0.08,3,0.08,0.04,0,0.0,39,1.05,35.9,7.692,0.08,2.42,36.67,0.13,20.0,2.29,37.65,0.22,0.59,22.73,2.42,41.11,0.35,0.24,0.08,16.97,1.48,0.84,27.93,68.37,13.71,60.51,3.02,91.07,19.13,80.42,6.71,45.38,24.15,43.35,0.07,0.67,0.03,0.05,0.05,100.0,0.24,6.98,55.98,2.77,38.83,0.4,33.33,0.38,0.84,8.73,74.38,72.35,8.38,0,,0,,0,0.0,0.0,0.0,,,0.38,,3.45,0.89,0.3,36.36,0.51,0,0.0,2024
R. Giampaoli,Renzo Giampaoli,-173250,Defensor Sporting,Defensor Sporting,https://cdn5.wyscout.com/photos/team/public/465_120x120.png,Primera División,"RCB, RCB3",RCB,82,RCB3,16,,0,24.0,2000-01-07,1000000,2024-12-31,35,3339,2,1.78,0,0.63,15.47,60.1,Argentina,"['Argentina', 'Italy']",right,187,80,True,10.62,6.09,74.78,5.77,57.94,0.97,1.55,0.5700000000000001,5.09,8.13,0.7000000000000001,11,0.3,0,0.0,0.46,0.05,2,0.05,0.05,2,0.05,19,0.51,26.32,10.526,0.0,0.35,30.77,0.08,66.67,0.24,22.22,0.03,0.35,61.54,1.48,30.91,0.65,0.94,0.05,33.8,0.46,0.51,50.97,83.87,23.45,72.53,3.23,98.33,40.54,91.56,10.11,54.93,23.02,37.8,0.02,0.19,0.0,0.0,0.0,0.0,0.05,7.79,64.01,1.27,31.91,0.59,31.82,0.27,0.08,11.54,71.5,95.0,19.95,0,,0,,0,0.0,0.0,0.0,,,2.48,,5.77,0.0,0.0,0.0,0.0,0,0.0,2024
L. Morales,Lucas Nahuel Morales Burruzo,-196227,Wanderers,Wanderers,https://cdn5.wyscout.com/photos/team/public/662_120x120.png,Primera División,"RB, RW",RB,76,RW,18,,0,25.0,1999-11-25,400000,2024-12-31,34,3314,5,5.35,3,3.94,20.18,52.76,Uruguay,['Uruguay'],right,183,78,True,9.32,6.95,66.8,5.46,58.71,0.11,0.14,0.27,4.5600000000000005,6.08,0.5700000000000001,4,0.11,0,0.0,2.53,0.14,5,0.14,0.15,1,0.03,47,1.28,42.55,10.638,0.08,3.67,28.15,0.05,0.0,3.58,28.03,0.49,1.87,50.72,4.83,35.39,1.6800000000000002,1.58,0.6000000000000001,19.47,2.8200000000000003,0.33,30.58,62.88,13.23,58.52,3.23,87.39,21.97,72.81,5.11,44.15,21.82,40.47,0.11,0.76,0.05,0.0,0.16,0.0,0.33,6.54,57.26,3.72,36.5,0.5700000000000001,23.81,0.79,1.19,8.91,70.43,63.87,9.4,0,,0,,0,0.0,0.0,0.0,,,0.46,,5.46,0.03,0.0,0.0,0.0,0,0.0,2024
P. Lacoste,Pablo Martín Lacoste Icardi,119221,Cerro,Cerro,https://cdn5.wyscout.com/photos/team/public/986_120x120.png,Primera División,LCB,LCB,92,,0,,0,36.0,1988-01-15,50000,2024-12-31,34,3295,2,2.51,0,0.41,8.44,55.34,Uruguay,['Uruguay'],right,188,82,False,6.34,2.32,72.94,3.8,53.96,0.05,0.07,0.74,4.59,5.58,0.3,10,0.27,0,0.0,0.19,0.05,2,0.05,0.07,1,0.03,16,0.44,25.0,12.5,0.0,0.05,50.0,0.03,0.0,0.03,100.0,0.03,0.16,33.33,0.52,26.32,0.55,0.38,0.0,7.24,0.05,0.46,18.55,73.78,11.01,66.0,0.66,79.17,12.18,79.6,6.31,62.77,25.71,35.15,0.01,0.08,0.03,0.0,0.0,0.0,0.03,4.5600000000000005,64.07,0.36,30.77,0.27,40.0,0.11,0.03,6.36,64.38,86.78,6.2,0,,0,,0,0.0,0.0,0.0,,,0.41,,3.8,0.03,0.0,0.0,0.0,0,0.0,2024
C. Almeida,Christian Andrés Almeida Rodríguez,195142,River Plate,River Plate,https://cdn5.wyscout.com/photos/team/public/976_120x120.png,Primera División,"LCB, LCB3, LB",LCB,32,LCB3,32,LB,27,34.0,1989-12-25,100000,2024-12-31,33,3268,3,2.65,0,0.62,15.81,57.32,Uruguay,['Uruguay'],left,170,65,False,10.35,5.37,74.87,5.29,54.17,0.19,0.28,0.63,6.14,8.97,0.72,8,0.22,1,0.03,0.77,0.08,3,0.08,0.07,1,0.03,23,0.63,39.13,13.043,0.0,0.3,27.27,0.3,27.27,0.0,0.0,0.03,0.85,51.61,2.75,46.0,0.74,0.63,0.06,25.69,0.55,0.52,41.92,79.57,20.08,67.08,2.51,93.41,32.99,88.06,8.62,48.88,22.13,36.9,0.02,0.3,0.03,0.0,0.03,0.0,0.03,7.16,58.08,1.13,51.22,0.58,52.38,0.52,0.14,9.42,62.57,91.67,15.53,0,,0,,0,0.0,0.0,0.0,,,0.88,,5.29,0.14,0.06,0.0,0.0,0,0.0,2024
N. Suárez,Bruno Nahuel Suárez Pereyra,474724,Progreso,Progreso,https://cdn5.wyscout.com/photos/team/public/978_120x120.png,Primera División,GK,GK,100,,0,,0,24.0,2000-06-02,400000,2024-12-31,33,3235,0,0.0,0,0.0,0.89,87.5,Uruguay,['Uruguay'],left,183,75,False,2.31,0.06,50.0,0.53,89.47,0.0,0.0,0.0,2.28,3.3,0.06,2,0.06,1,0.03,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,80.0,0.0,0.0,0.0,7.98,0.19,0.25,15.77,84.66,10.46,78.72,0.0,0.0,7.96,98.25,7.76,71.33,38.06,51.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,69.07,0.08,0.0,0.03,0.0,0.0,0.0,6.2,80.27,97.77,4.98,49,1.36,158,4.4,6,68.99,48.06,1.34,-0.94,-0.026,0.0,1.45,0.53,,,,0.0,0,0.0,2024
H. Magallanes,Hugo Alejandro Magallanes Silveira,373321,Racing,Racing,https://cdn5.wyscout.com/photos/team/public/1320_120x120.png,Primera División,"RCB, CB",RCB,70,CB,18,,0,27.0,1997-08-26,750000,2025-12-31,33,3232,0,1.8,1,0.84,15.76,68.37,Uruguay,['Uruguay'],right,189,86,False,9.63,5.57,77.0,6.27,71.56,0.67,0.98,0.78,4.68,6.83,0.64,13,0.36,2,0.06,0.31,0.0,0,0.0,0.05,0,0.0,16,0.45,25.0,0.0,0.03,0.06,50.0,0.0,0.0,0.06,50.0,0.03,0.33,33.33,2.0,37.5,0.67,1.06,0.03,18.27,0.33,0.84,32.64,78.67,16.18,67.13,0.78,92.86,24.76,86.61,7.82,53.74,24.94,43.53,0.02,0.14,0.0,0.0,0.08,66.67,0.06,6.13,58.64,0.95,38.24,0.58,33.33,0.42,0.03,8.8,66.14,91.13,13.81,0,,0,,0,0.0,0.0,0.0,,,0.53,,6.27,0.03,0.03,0.0,0.0,0,0.0,2024
J. Álvez,Juan Daniel Álvez Ortiz,24230,Fénix,Fénix,https://cdn5.wyscout.com/photos/team/public/987_120x120.png,Primera División,"LCB3, RCB3, RB",LCB3,41,RCB3,15,RB,14,41.0,1983-08-21,25000,2024-12-31,32,3162,0,0.01,0,0.14,15.06,61.25,Uruguay,['Uruguay'],right,173,68,False,10.33,7.88,72.92,2.36,49.4,0.17,0.25,0.43,4.41,6.42,0.63,3,0.09,0,0.0,0.46,0.0,0,0.0,0.0,0,0.0,1,0.03,0.0,0.0,0.0,0.2,85.71,0.09,100.0,0.11,75.0,0.0,0.43,66.67,1.79,50.79,0.03,0.23,0.03,12.58,0.37,0.8,25.05,81.82,12.78,74.83,1.88,92.42,19.98,86.89,4.87,60.82,20.44,31.71,0.0,0.17,0.0,0.03,0.0,0.0,0.0,3.24,74.56,0.46,68.75,0.2,42.86,0.11,0.14,6.4,65.33,91.24,7.8,0,,0,,0,0.0,0.0,0.0,,,0.94,,2.36,0.0,0.0,0.0,0.03,0,0.0,2024
