Player,Wyscout id,Team within selected timeframe,Position,Age,Goals,Assists,Minutes played,Temporada
K. Dawson,180998,Defensor Sporting,GK,32.0,0,0,3542,2024
F. Barrandeguy,396153,Rampla Juniors,RB,28.0,1,1,3426,2024
M. Gómez,296248,Miramar Misiones,"RB, RWB",32.0,3,3,3341,2024
R. Giampaoli,-173250,Defensor Sporting,"RCB, RCB3",24.0,2,0,3339,2024
L. Morales,-196227,Wanderers,"RB, RW",25.0,5,3,3314,2024
P. Lacoste,119221,Cerro,LCB,36.0,2,0,3295,2024
C. Almeida,195142,River Plate,"LCB, LCB3, LB",34.0,3,0,3268,2024
N. Suárez,474724,Progreso,GK,24.0,0,0,3235,2024
H. Magallanes,373321,Racing,"RCB, CB",27.0,0,1,3232,2024
J. Álvez,24230,Fénix,"LCB3, RCB3, RB",41.0,0,0,3162,2024
L. Rodríguez,352999,Racing,"DMF, LDMF, RCMF",31.0,2,0,3125,2024
A. Macelli,-169799,Cerro,"RCMF, RCB, DMF",26.0,2,2,3122,2024
S. Romero,143210,Danubio,"DMF, RCMF, RDMF",34.0,0,1,3113,2024
K. Amaro,-356133,Liverpool,"RB, RW",20.0,1,4,3058,2024
M. Noble,323109,Deportivo Maldonado,"RCMF, AMF, RDMF",27.0,4,1,3052,2024
J. Álvarez,322472,Defensor Sporting,LB,29.0,2,2,3048,2024
L. Mejía,90581,Nacional,GK,33.0,0,0,3036,2024
E. Ancheta,-84106,Danubio,"RB, RWB",25.0,0,2,3017,2024
D. Nandín,-241809,Racing,CF,22.0,11,2,2992,2024
G. Cotugno,329595,Racing,"RB, RCB3",29.0,2,2,2990,2024
G. de los Santos,175650,Defensor Sporting,"LCB, CB",33.0,5,1,2972,2024
M. Goicoechea,23530,Danubio,GK,36.0,0,0,2972,2024
L. Fernández,397873,Peñarol,"CF, AMF, RW",26.0,16,12,2971,2024
J. Alberti,434704,Wanderers,"LCMF, RCMF, LDMF",27.0,2,0,2965,2024
A. Cayetano,-76631,Liverpool,LB,25.0,0,3,2951,2024
G. Reyes,57163,Deportivo Maldonado,GK,38.0,0,0,2943,2024
L. Lozano,-49503,Nacional,RB,25.0,0,5,2939,2024
B. Damiani,-403894,Boston River,CF,22.0,12,3,2931,2024
G. Rodríguez,-146472,Peñarol,LCB,24.0,1,0,2923,2024
G. Báez,406831,Nacional,LB,29.0,2,1,2913,2024
E. Castillo,-100201,Liverpool,"LB, RCB",23.0,1,3,2884,2024
A. Samurio,-116205,Rampla Juniors,GK,28.0,0,2,2873,2024
Á. Vázquez,-169970,Miramar Misiones,"LCMF, DMF, LCMF3",22.0,5,0,2865,2024
J. Lavega,-140292,River Plate,"CF, LW",19.0,11,5,2861,2024
M. Ferreira,193600,Racing,"LB, LCB, LWB",32.0,2,1,2846,2024
S. Lentinelly,432677,Liverpool,GK,27.0,0,0,2846,2024
E. Beltrán,498555,Boston River,RB,26.0,2,0,2845,2024
M. Fracchia,-81777,Danubio,"LB, LCB3, LCB",29.0,1,2,2841,2024
K. Rolón,-240579,Wanderers,"LB, LW",23.0,5,3,2837,2024
A. Chopitea,-67745,Fénix,"RB, RWB, RB5",25.0,2,2,2814,2024
E. García,99752,Wanderers,RCB,34.0,0,0,2791,2024
D. García,413468,Liverpool,"LAMF, AMF, LCMF3",27.0,5,4,2765,2024
T. Adoryan,-406868,Rampla Juniors,"RCMF, LCMF",23.0,3,3,2757,2024
L. Centurión,-423029,Rampla Juniors,RCB,24.0,2,0,2711,2024
M. Lombardi,67831,Miramar Misiones,"RCMF, RCMF3, CF",37.0,1,6,2692,2024
A. Amado,-262754,Boston River,"RCMF, LCMF, AMF",23.0,2,0,2685,2024
A. Assis,323021,Cerro Largo,"RCMF, LCMF",31.0,3,3,2684,2024
D. Polenta,103071,Nacional,LCB,32.0,1,3,2672,2024
